ID,OrgId,Title,URL,Categories,Element tag,Author,Organizationen,Publication Date
0040004,4,Nursing Home Inspect:Find Nursing Home Problems in Your State,http://projects.propublica.org/nursing-homes/,医疗,"map,  interactive, database","Charles Ornstein, Lena Groeger",ProPublica,
0040005,4,Treatment Tracker,https://projects.propublica.org/treatment/,医疗,interactive,"Lena Groeger, Charles Ornstein, and Ryann Grochowski Jones",ProPublica,
0040006,4,Cruise Control,https://projects.propublica.org/cruises/,旅行,"illustration, interactive","Lena Groeger, Michael Grabell",ProPublica,
0040007,4,"Worker's comp benefits: how much is a limb worth?",http://projects.propublica.org/graphics/workers-compensation-benefits-by-limb,政治,"illustration, interactive",Lena Groeger,ProPublica,
0040008,4,"Worker's compensation reforms by state",http://projects.propublica.org/graphics/workers-comp-reform-by-state,政治,"map, interactive","Yue Qiu, Michael Grabell",ProPublica,
0040009,4,Inside the firewall:tracking the news that China blocks,https://projects.propublica.org/firewall/,政治,interactive,Sisi Wei,ProPublica,
0040010,4,A Disappearing Planet,http://projects.propublica.org/extinctions/,环境,"interactive, bar",Anna Flagg,ProPublica,
0040011,4,Loosing Ground,http://projects.propublica.org/louisiana/,环境,"map, interactive, satellite imagery","Brain Jacobs, Al Shaw, Bob Marshall",ProPublica,
0040012,4,Surgeons Scorecard,https://projects.propublica.org/surgeons/,医疗,"interactive, database","Sisi Wei, Olga Pierce, Marshall Allen",ProPublica,
0040013,4,Money as a Weapons System,https://projects.propublica.org/cerp/,安全,"interactive, illustration, database"," Megan McCloskey, Mike Tigas, Ryann Grochowski Jones, Sisi Wei, Jeff Larson, Ingrid Burrington",ProPublica,
0070001,7,Bloomberg Billionaires,http://www.bloomberg.com/billionaires/2013-11-08/cya,经济,"real-time, interactive",,Bloomberg,
0070002,7,"What's really warming the world",http://www.bloomberg.com/graphics/2015-whats-warming-the-world/,环境,"line, interactive","Eric Roston, Blacki Migliozzi",Bloomberg,
0070003,7,How to catch a spoofer,http://www.bloomberg.com/graphics/2015-spoofing/,商业,interactive,"Matthew Leising, Mira Rojanasakul, Adam Pearce",Bloomberg,
0070004,7,How do people play the trade game?,http://www.bloomberg.com/features/2015-stock-chart-trading-game/analysis/,商业,"interactive, line","Toph Tucker, Adam Pearce",Bloomberg,
0070005,7,Here’s Exactly Where the Candidates’ Cash Came From,http://www.bloomberg.com/politics/graphics/2015-presidential-money-map/,政治,"interactive, map","Zach Mider, Christopher Cannon, and Adam Pearce",Bloomberg,
0070006,7,This Is How Fast America Changes Its Mind,http://www.bloomberg.com/graphics/2015-pace-of-social-change/,文化,"line, interactive","Alex Tribou, Keith Collins",Bloomberg,
0070007,7,The U.K. Election 2015,http://www.bloomberg.com/graphics/2015-uk-election/,政治,map,"Julian Burgess, Blacki Migliozzi, Adam Pearce and Christopher Cannon",Bloomberg,
0070008,7,"2015 was the hottest year on record, by a stunning margin",http://www.bloomberg.com/news/features/2016-01-20/2015-was-the-hottest-year-on-record-by-a-stunning-margin,环境,"line, interactive","Tom Randall, Blacki Migliozzi",Bloomberg,
0070009,7,The Ungoverned World,http://www.bloomberg.com/graphics/2015-ungoverned-world/,政治,"map, interactive"," Alex McIntyre, Dave Merrill, and Blacki Migliozzi",Bloomberg,
0070010,7,How Americans Die,http://www.bloomberg.com/graphics/dataview/how-americans-die/,政治,"line, bar","Lisa Strausfeld, Christopher Cannon, Jeremy Diamond, Takaaki Okada",Bloomberg,
0160001,16,风雨中概股,http://special.caixin.com/2013/zgg/index.html,经济,"interactve, bubble",,Caixin,
