ID,OrgId,Title,URL,Categories,Element tag,Author,Organizationen,Publication Date
0070003,7,How to catch a spoofer,http://www.bloomberg.com/graphics/2015-spoofing/,商业,interactive,"Matthew Leising, Mira Rojanasakul, Adam Pearce",Bloomberg,9/4/2015
0070004,7,How do people play the trade game?,http://www.bloomberg.com/features/2015-stock-chart-trading-game/analysis/,商业,"interactive, line","Toph Tucker, Adam Pearce",Bloomberg,2015
0070005,7,Here’s Exactly Where the Candidates’ Cash Came From,http://www.bloomberg.com/politics/graphics/2015-presidential-money-map/,政治,"interactive, map","Zach Mider, Christopher Cannon, and Adam Pearce",Bloomberg,9/15/2015
0070006,7,This Is How Fast America Changes Its Mind,http://www.bloomberg.com/graphics/2015-pace-of-social-change/,文化,"line, interactive","Alex Tribou, Keith Collins",Bloomberg,6/26/2015
0070007,7,The U.K. Election 2015,http://www.bloomberg.com/graphics/2015-uk-election/,政治,map,"Julian Burgess, Blacki Migliozzi, Adam Pearce and Christopher Cannon",Bloomberg,1/1/2015
0070008,7,"2015 was the hottest year on record, by a stunning margin",http://www.bloomberg.com/news/features/2016-01-20/2015-was-the-hottest-year-on-record-by-a-stunning-margin,环境,"line, interactive","Tom Randall, Blacki Migliozzi",Bloomberg,1/20/2016
0070009,7,The Ungoverned World,http://www.bloomberg.com/graphics/2015-ungoverned-world/,政治,"map, interactive"," Alex McIntyre, Dave Merrill, and Blacki Migliozzi",Bloomberg,10/13/2015
0070010,7,How Americans Die,http://www.bloomberg.com/graphics/dataview/how-americans-die/,政治,"line, bar","Lisa Strausfeld, Christopher Cannon, Jeremy Diamond, Takaaki Okada",Bloomberg,4/17/2014
0080001,8,Election Night: Special Coverage: The 2014 Midterms,http://fivethirtyeight.com/live-blog/special-coverage-the-2014-midterms/,政治,"real-time, map",,Five Thirty Eight Live,11/4/2014
0080002,8,"Searching for Ameirca's Best Burrito",http://fivethirtyeight.com/burrito/#brackets-view,生活,"map, tree, table",,Five Thirty Eight,9/10/2015
0080003,8,Which Flight Will Get You There Fastest?,http://projects.fivethirtyeight.com/flights/,旅行,"map, table","Ritchie King, Nate Silver",Five Thirty Eight,11/24/2015
0080004,8,Should You Get Married (Or Divorced) For Tax Reasons?,http://fivethirtyeight.com/interactives/marriage-penalty/,生活,interactive,Ritchie King,Five Thirty Eight,4/16/2014
0080005,8,The Complete History Of The NBA,http://projects.fivethirtyeight.com/complete-history-of-the-nba/#sixers,体育,"timeline, line","Reuben Fischer-Baum, Nate Silver",Five Thirty Eight,5/21/2015
0080006,8,2016 Primary Forecasts,http://projects.fivethirtyeight.com/election-2016/primary-forecast/iowa-republican/,政治,line,,Five Thirty Eight,1/24/2016
0080007,8,What Would It Take To Turn States?,http://projects.fivethirtyeight.com/2016-swing-the-election/,政治,"map, table","Aaron Bycoffe, David Wasserman",Five Thirty Eight,12/3/2015
0080008,8,2015-16 NBA Predictions,http://projects.fivethirtyeight.com/2016-nba-picks/,体育,table,"Jay Boice, Reuben Fischer-Baum, Nate Silver",Five Thirty Eight,10/27/2015
0080009,8,The Perfect Republican Stump Speech,http://projects.fivethirtyeight.com/stump-speech/,政治,,,Five Thirty Eight,11/23/2015
0020001,2,Public spending by UK government department: an interactive guide,http://www.theguardian.com/news/datablog/interactive/2011/oct/26/public-spending-uk-government-department,政治,"bubble, interactive",TK,The Guardian,10/26/2011
0020002,2,NSA files Decoded: what the relations mean for you,http://www.theguardian.com/world/interactive/2013/nov/01/snowden-nsa-files-surveillance-revelations-decoded#section/1,安全,"interactive, multi-media",TK,The Guardian,11/1/2013
0020003,2,"The first Guardian data journalism: May 5, 1821",http://www.theguardian.com/news/datablog/2011/sep/26/data-journalism-guardian?INTCMP=SRCH,教育,,TK,The Guardian,9/26/2011
0020004,2,March Madness: do the tallest teams always win the NCAA championship?,http://www.theguardian.com/sport/interactive/2013/mar/18/ncaa-tournament-team-matchups-height#g=Top%2025,体育,interactive,TK,The Guardian,3/18/2013
0020005,2,NFL salaries by team and position,http://www.theguardian.com/sport/interactive/2013/jan/30/nfl-salaries-team-position,体育,"interactive, bubble",TK,The Guardian,1/30/2013
0020006,2,"Gay rights in the US, state by state",http://www.theguardian.com/world/interactive/2012/may/08/gay-rights-united-states,政治,interactive,TK,The Guardian,5/8/2012
0020007,2,"The state of our union is … dumber:
How the linguistic standard of the presidential address has declined",http://www.theguardian.com/world/interactive/2013/feb/12/state-of-the-union-reading-level,政治,interactive,TK,The Guardian,2/12/2013
0020008,2,Homan Square — A portrait of Chicago’s detainees,http://www.theguardian.com/us-news/ng-interactive/2015/oct/19/homan-square-chicago-police-detainees,观点,multimedia,TK,The Guardian,10/19/2015
0020009,2,The Counted — People killed by police in the US,http://www.theguardian.com/us-news/ng-interactive/2015/jun/01/the-counted-map-us-police-killings,政治,"map, database",TK,The Guardian,6/1/2015
0020010,2,"Watch how the measles outbreak spreads when kids get vaccinated – and when they don't",http://www.theguardian.com/society/ng-interactive/2015/feb/05/-sp-watch-how-measles-outbreak-spreads-when-kids-get-vaccinated,医疗,animation,TK,The Guardian,2/5/2015
0020011,2,Gun deaths in your district: what have your elected representatives done?,http://www.theguardian.com/us-news/ng-interactive/2015/dec/14/gun-control-laws-congress-shooting-deaths-nra-lobby-campaign-donations#06-21,政治,"map, database",TK,The Guardian,12/14/2015
0020012,2,Battle of the sexes: charting how women in tennis achieved equal pay,http://www.theguardian.com/sport/2015/sep/11/how-women-in-tennis-achieved-equal-pay-us-open,体育,bar,TK,The Guardian,9/11/2015
0020013,2,"As the Oscars age, so do the nominees",http://www.theguardian.com/film/interactive/2014/mar/02/oscars-award-nominees-age-best-actress-actor,文化,line,TK,The Guardian,3/2/2014
0020014,2,Live map of flights in the past 24 hours (and 100 years),http://www.theguardian.com/world/ng-interactive/2014/aviation-100-years,旅行,map,TK,The Guardian,1/20/2014
0020015,2,"America's Climate Refugees",http://www.theguardian.com/environment/interactive/2013/may/14/alaska-villages-frontline-global-warming,环境,multimedia,TK,The Guardian,5/14/2013
0020016,2,Are you reflected in the new Congress?,http://www.theguardian.com/us-news/ng-interactive/2014/nov/06/-sp-congress-diversity-women-race-lgbt-are-you-represented,政治,map,TK,The Guardian,11/6/2014
0020017,2,World Cup: which domestic league is best represented?,http://www.theguardian.com/sport/ng-interactive/2015/jan/31/mega-beast-mode-marshawn-lynch-is-this-good,体育,bar,TK,The Guardian,1/31/2015
0020018,2,"The 39 stats: Alfred Hitchcock's obsessions in numbers",http://www.theguardian.com/film/picture/2013/aug/12/alfred-hitchcock-film-statistics,艺术,"map, illustration","Adam Frost, Zhenia Vasiliev",The Guardian,8/12/2013
0180001,22,Migration of Hollywood moviemaking,http://interactives.ap.org/2015/oscars-migration/,文化,interactive,,Associated Press,2/13/2015
0180002,22,Seven years in one speech,http://interactives.ap.org/2015/sotu-2015/,政治,interactive,,Associated Press,1/24/2015
0180003,22,Gulf Oil: five years later,http://interactives.ap.org/2015/gulf-health/,安全,illustration,,Associated Press,4/17/2015
0180004,22,2016 Candidate tracker,http://interactives.ap.org/2015/2016-candidate-tracker/,政治,bubbles,,Associated Press,3/19/2015
0180005,22,Where do you stand on issues,http://interactives.ap.org/2015/2016-issue-standings/,政治,game,,Associated Press,1/18/2015
0040002,4,The Opportunity Gap,http://projects.propublica.org/schools/,教育,"database, map, interactive",TK,ProPublica,1/24/2013
0040003,4,"Dollars for Docs
How Industry Dollars Reach Your Doctors",https://projects.propublica.org/docdollars/,医疗,"database, map, interactive","Lena Groeger, Charles Ornstein, Mike Tigas, Ryann Grochowski Jones",ProPublica,7/1/2015
0040004,4,Nursing Home Inspect:Find Nursing Home Problems in Your State,http://projects.propublica.org/nursing-homes/,医疗,"map,  interactive, database","Charles Ornstein, Lena Groeger",ProPublica,11/1/2015
0040005,4,Treatment Tracker,https://projects.propublica.org/treatment/,医疗,interactive,"Lena Groeger, Charles Ornstein, and Ryann Grochowski Jones",ProPublica,8/29/2014
0040006,4,Cruise Control,https://projects.propublica.org/cruises/,旅行,"illustration, interactive","Lena Groeger, Michael Grabell",ProPublica,5/1/2015
0040007,4,"Worker's comp benefits: how much is a limb worth?",http://projects.propublica.org/graphics/workers-compensation-benefits-by-limb,政治,"illustration, interactive",Lena Groeger,ProPublica,3/5/2015
0040008,4,"Worker's compensation reforms by state",http://projects.propublica.org/graphics/workers-comp-reform-by-state,政治,"map, interactive","Yue Qiu, Michael Grabell",ProPublica,3/4/2015
0040009,4,Inside the firewall:tracking the news that China blocks,https://projects.propublica.org/firewall/,政治,interactive,Sisi Wei,ProPublica,12/17/2014
0040010,4,A Disappearing Planet,http://projects.propublica.org/extinctions/,环境,"interactive, bar",Anna Flagg,ProPublica,1/1/2014
0040011,4,Loosing Ground,http://projects.propublica.org/louisiana/,环境,"map, interactive, satellite imagery","Brain Jacobs, Al Shaw, Bob Marshall",ProPublica,8/28/2014
0040012,4,Surgeons Scorecard,https://projects.propublica.org/surgeons/,医疗,"interactive, database","Sisi Wei, Olga Pierce, Marshall Allen",ProPublica,7/15/2015
0040013,4,Money as a Weapons System,https://projects.propublica.org/cerp/,安全,"interactive, illustration, database"," Megan McCloskey, Mike Tigas, Ryann Grochowski Jones, Sisi Wei, Jeff Larson, Ingrid Burrington",ProPublica,5/15/2015
0130001,13,Flooding & Flood Zones,http://project.wnyc.org/flooding-sandy-new/#12.00/40.7378/-74.0702,灾害,map,,WNYC,11/11/2012
0130002,13,NYC Hottest Subway Stations Mapped,http://www.wnyc.org/story/hottest-subway-stations-map-nyc/,生活,map,,WNYC,7/30/2015
0130003,13,NYC Yoga,http://project.wnyc.org/nyc-yoga/,生活,illustration,,WNYC,8/1/2015
0130004,13,Christieverse,http://project.wnyc.org/christieverse/,政治,"multi-media, tree",,WNYC,5/1/2015
0130005,13,School Book,http://data.schoolbook.org,教育,"interactive, map",,WNYC,9/1/2013
0130006,13,Unlimited choices: 7-day vs 30-day MetroCards,http://project.wnyc.org/mta-unlimited/,经济,map,,WNYC,1/22/2015
0030001,3,Election Party!,http://elections.npr.org/#,政治,real-time,,NPR,11/4/2014
0030002,3,Fire Forecast,http://apps.npr.org/fire-forecast/,灾害,map,,NPR,8/23/2012
0030003,3,Visualizing How A Population Grows To 7 Billion,http://www.npr.org/2011/10/31/141816460/visualizing-how-a-population-grows-to-7-billion,环境,multi-media,,NPR,10/31/2011
0030004,3,Playgrounds For Everyone,http://www.playgroundsforeveryone.com/,经济,map,,NPR,8/27/2013
0030005,3,Poisoned Places Map,http://www.npr.org/news/graphics/2011/10/toxic-air/#4.00/39.00/-84.00,灾害,"map, interactive",,NPR,10/1/2011
0030006,3,"Explore China's Global Reach",http://www.npr.org/2011/06/10/136930746/explore-chinas-global-reach,经济,interactive,,NPR,6/7/2011
0030007,3,"The Best Commencement Speeches, Ever",http://apps.npr.org/commencement/,教育,"multi-media, interactive",,NPR,5/19/2014
0030008,3,Planet Money Makes A T-Shirt,http://apps.npr.org/tshirt/,商业,"multi-media, interactive",,NPR,12/2/2013
0030009,3,"Demolished: The End Of Chicago's Public Housing",http://apps.npr.org/lookatthis/posts/publichousing/,,"multi-media, interactive",,NPR,12/23/2014
0030010,3,Lost and Found : The amazing story of Charles Cushman in full color,http://www.npr.org/news/specials/2012/cushman/,艺术,"multi-media, interactive",,NPR,9/14/2012
0030011,3,Talking While Female,http://www.npr.org/sections/health-shots/2014/10/24/357584372/video-what-women-get-flak-for-when-they-talk,科学,multi-media,,NPR,10/24/2014
0050001,5,Results from the 2014 Midterm Election,http://graphics.wsj.com/midterm-election-results-2014/,政治,"map, interactive",,Wall Street Journal,11/4/2014
0050002,5,TRIALS,http://projects.wsj.com/trials/#chapter=1,生活,"multi-media, long-form",Amy Dockser Marcus,Wall Street Journal,11/19/2013
0050003,5,U.S. Unemployment: A Historical View,http://www.wsj.com/news/articles/SB10001424052748703338004575230041742556522,经济,"interactive, map",,Wall Street Journal,5/7/2010
0050004,5,China Econtracker,http://blogs.wsj.com/chinarealtime/2012/01/17/introducing-china-real-times-china-econtracker/,经济,"interactive, line",,Wall Street Journal,1/17/2012
0050005,5,Political Moneyball: Mapping Universe of Cash,http://blogs.wsj.com/washwire/2012/07/25/political-moneyball-mapping-the-universe-of-cash/,政治,"interactive, bubble","Andrew Garcia Phillips, Sarah Slobin, Jovi Juan",Wall Street Journal,7/25/2012
0050006,5,Kowloon Walled City,http://projects.wsj.com/kwc/#chapter=intro,文化,"long-form, interactive, multi-media","Henry Williams, MinJung Kim",Wall Street Journal,4/1/2014
0050007,5,European Parliament Elections 2014,http://graphics.wsj.com/european-elections-2014/,政治,"interactive, map","Jovi Juan, Gabriele Steinhauser, Elliot Bentley",Wall Street Journal,5/14/2014
0050008,5,"100 Years, 100 Legacies: Tracing the Echoes of World War I",http://online.wsj.com/ww1/,政治,multi-media,,Wall Street Journal,11/10/2014
0050009,5,Map of a Tragedy: How MH17 Came Apart Over Ukraine,http://graphics.wsj.com/mh17-crash-map/,安全,"map, multi-media",Stuart A. Thompson,Wall Street Journal,7/25/2014
0050010,5,Surveying the Destruction in Gaza,http://graphics.wsj.com/gaza-surveying-destruction/,灾害,"map, multi-media, bar","Stuart A. Thompson, Renée Rigdon, Asa Fitch, Nicholas Casey, Taylor Umlauf, Erin McCarthy, Mark Fahey",Wall Street Journal,8/14/2014
0050011,5,United Against Islamic State,http://graphics.wsj.com/isis-strange-bedfellows/,政治,interactive,"Chris Kaeser, Stuart A. Thompson",Wall Street Journal,9/17/2014
0050012,5,"Scotland Votes No, Stays in the U.K.",http://graphics.wsj.com/scotland-referendum-results/,政治,"bar, map, interactive",,Wall Street Journal,11/10/2014
0050013,5,Airstrikes in Iraq and Syria,http://graphics.wsj.com/airstrikes-on-islamic-state/,灾害,"bar, map, interactive","Nathaniel Lash, Felicia Schwartz",Wall Street Journal,11/7/2014
0050014,5,Politics and Business in the House of Lords,http://graphics.wsj.com/house-of-lords/,政治,"interactive, long-form","Elliot Bentley, Jovi Juan, Charles Forelle, Justin Scheck",Wall Street Journal,11/10/2014
0050015,5,Sochi Olympics Medal Tracker,http://graphicsweb.wsj.com/documents/sochi-medal-count/,体育,"map, table","Andrew Garcia Phillips, Chris Canipe",Wall Street Journal,2/18/2014
0050016,5,Primer: Olympic 500m Speedskating,http://graphics.wsj.com/speed-skating-primer/,体育,interactive,Andrew Garcia Phillips,Wall Street Journal,8/14/2014
0050017,5,World Cup of Everything Else,http://graphics.wsj.com/documents/WORLDCUPTOEE/,体育,tree,,Wall Street Journal,6/11/2014
0050018,5,Scoring: National Style Guide,http://graphics.wsj.com/documents/wc-goals/,体育,interactive,"Chris Canipe, Geoff Foster, Joshua Robinson",Wall Street Journal,6/5/2014
0050019,5,No. 1 vs. No. 32,http://graphics.wsj.com/us-open-32/,体育,bar,"Andrew Beaton, Stuart A. Thompson, Steven Kutz",Wall Street Journal,8/25/2014
0050020,5,"World Cup Players' Penalty Kick Patterns",http://graphics.wsj.com/wc-penalty-kicks/,体育,interactive,"Chris Canipe, Geoff Foster",Wall Street Journal,6/26/2014
0050021,5,HealthCare.gov Explorer,http://graphics.wsj.com/health-care-explorer/,医疗,"interactive, map","Martin Burch, Madeline Farbman, Jonathan Keegan, Adam Suharja, Christopher Weaver, Kurt Wilberding",Wall Street Journal,2/4/2014
0050022,5,Faces of the Affordable Care Act,http://graphics.wsj.com/HealthProfiles/,医疗,"multi-media, long-form",Lakshmi Ketineni,Wall Street Journal,12/24/2014
0050023,5,Which Cities Get the Most Sleep?,http://graphics.wsj.com/how-we-sleep/,医疗,map,Stuart A. Thompson,Wall Street Journal,8/15/2014
0050024,5,Medical Money,http://graphics.wsj.com/medical-money/,医疗,bar,"Martin Burch, Colleen McEnaney",Wall Street Journal,10/7/2014
0050025,5,Axis of Additives,http://graphics.wsj.com/food-additives-ingredients/,医疗,"tree, interactive","Ana Becker, Martin Burch, Annie Gasparro",Wall Street Journal,10/30/2014
0050026,5,The People’s House,http://graphics.wsj.com/the-peoples-house/,政治,"map, bar","Randy Yeip, Casey Miller",Wall Street Journal,10/30/2014
0050027,5,An Animated View of the 2014 Midterm Elections,http://graphics.wsj.com/midterm-election-2014-animations/,政治,"map, animation",,Wall Street Journal,11/5/2014
0050028,5,Best Books of 2014,http://graphics.wsj.com/best-books-2014,文化,multi-media,,Wall Street Journal,12/30/2014
0050029,5,Biopics: A History,http://graphics.wsj.com/biopics/,文化,"multi-media, long-form",,Wall Street Journal,12/30/2014
